EOS space usage on 2018-07-19 10:21:45
    User      Used Physical     Used Logical    Avail Physical   Avail Logical    Used Files  Avail Files        Space/Files   
ksiehl                1.68 TB        839.94 GB          4.29 TB          2.15 TB         7568       500000    ok/ok
jheidema              1.67 TB        833.30 GB          4.29 TB          2.15 TB         4636       500000    ok/ok
zfwd666               1.65 TB        825.21 GB          4.29 TB          2.15 TB         6222       500000    ok/ok
dgsheffi              1.63 TB        814.94 GB          4.29 TB          2.15 TB        17210       500000    ok/ok
pedrok                1.63 TB        813.82 GB          4.29 TB          2.15 TB        34613       500000    ok/ok
abhalla               1.61 TB        805.22 GB          4.29 TB          2.15 TB         3808       500000    ok/ok
souvik                1.61 TB        803.07 GB          4.29 TB          2.15 TB        11278       500000    ok/ok
skhalil               1.60 TB        800.57 GB         10.74 TB          5.37 TB        29293       500000    ok/ok
gengchen              1.58 TB        791.38 GB          4.29 TB          2.15 TB         3737       500000    ok/ok
dadams                1.56 TB        781.04 GB          8.00 TB          4.00 TB        45438       500000    ok/ok
slava77               1.55 TB        777.16 GB          4.29 TB          2.15 TB        10686       500000    ok/ok
xiaowang              1.55 TB        775.19 GB          4.00 TB          2.00 TB        37045       500000    ok/ok
nsur                  1.54 TB        771.18 GB          4.40 TB          2.20 TB        25653       500000    ok/ok
samvel                1.53 TB        765.35 GB          6.44 TB          3.22 TB        86067       500000    ok/ok
achhetri              1.53 TB        763.35 GB          4.00 TB          2.00 TB        29723       500000    ok/ok
dmendis               1.52 TB        759.86 GB          4.29 TB          2.15 TB       406219       500000    ok/ok
aris                  1.50 TB        752.25 GB          4.29 TB          2.15 TB         2148       500000    ok/ok
sekaric               1.50 TB        748.29 GB          4.29 TB          2.15 TB         2877       500000    ok/ok
klchan                1.50 TB        748.14 GB          4.29 TB          2.15 TB        26960       500000    ok/ok
mendez                1.48 TB        738.37 GB          4.29 TB          2.15 TB        75893       500000    ok/ok
kranti                1.47 TB        736.94 GB          4.29 TB          2.15 TB         1132       500000    ok/ok
acherry               1.47 TB        735.83 GB          4.00 TB          2.00 TB          919       500000    ok/ok
bchiari1              1.47 TB        733.66 GB          4.29 TB          2.15 TB        21144       500000    ok/ok
krose13               1.47 TB        733.15 GB          4.29 TB          2.15 TB         8982       500000    ok/ok
uscms773              1.46 TB        728.75 GB           0.00 B           0.00 B         1155            0    ignored/ignored
jbradmil              1.45 TB        727.15 GB          4.29 TB          2.15 TB        99032       500000    ok/ok
samuellh              1.44 TB        717.71 GB          4.29 TB          2.15 TB        28997       500000    ok/ok
itopsisg              1.43 TB        713.84 GB          4.00 TB          2.00 TB         3636       500000    ok/ok
bbetchar              1.41 TB        704.84 GB          5.00 TB          2.50 TB        11761       500000    ok/ok
gutsche             702.97 GB        702.97 GB         11.00 TB          5.50 TB          180       500000    ok/ok
plujan                1.39 TB        692.78 GB         13.19 TB          6.60 TB         2872       500000    ok/ok
jduarte1              1.36 TB        679.63 GB         10.00 TB          5.00 TB         6056       500000    ok/ok
cmorgoth              1.36 TB        678.64 GB          4.29 TB          2.15 TB          383       500000    ok/ok
alejands              1.35 TB        676.25 GB          4.00 TB          2.00 TB        98246       500000    ok/ok
jprinz                1.30 TB        650.49 GB          4.00 TB          2.00 TB         1398       500000    ok/ok
apana                 1.30 TB        648.08 GB          4.29 TB          2.15 TB       495215       500000    ok/exceeded
bwstone               1.29 TB        643.18 GB          4.00 TB          2.00 TB       101924       500000    ok/ok
sbein                 1.28 TB        637.56 GB          3.22 TB          1.61 TB       400808       500000    ok/ok
rmueller              1.26 TB        632.04 GB          4.29 TB          2.15 TB        17373       500000    ok/ok
xuan                  1.26 TB        631.25 GB          4.29 TB          2.15 TB         8715       500000    ok/ok
ajay                  1.26 TB        628.44 GB          4.29 TB          2.15 TB        81504       500000    ok/ok
mjoyce                1.26 TB        627.91 GB          4.00 TB          2.00 TB         1030       500000    ok/ok
devildog              1.25 TB        625.83 GB          4.29 TB          2.15 TB         3668       500000    ok/ok
lwang2                1.22 TB        610.65 GB          4.29 TB          2.15 TB       163779            0    ok/ignored
cbrainer              1.20 TB        598.92 GB          4.29 TB          2.15 TB        84252       500000    ok/ok
jaredt                1.19 TB        597.31 GB          4.29 TB          2.15 TB        64347       500000    ok/ok
ftorresd              1.19 TB        595.80 GB          4.00 TB          2.00 TB        23380       500000    ok/ok
rossin                1.18 TB        592.05 GB         11.00 TB          5.50 TB         1018       500000    ok/ok
lmhay                 1.17 TB        585.12 GB          4.29 TB          2.15 TB         9352       500000    ok/ok
mhadley               1.17 TB        584.62 GB          4.29 TB          2.15 TB          660       500000    ok/ok
guerrero              1.17 TB        583.25 GB          4.29 TB          2.15 TB         2350       500000    ok/ok
rdking                1.16 TB        582.30 GB          4.00 TB          2.00 TB         6682       500000    ok/ok
jrorie                1.15 TB        577.46 GB          4.29 TB          2.15 TB         2172       500000    ok/ok
dzou                  1.14 TB        569.65 GB          4.29 TB          2.15 TB        24540       500000    ok/ok
ztao                  1.14 TB        568.71 GB          4.29 TB          2.15 TB       122380       500000    ok/ok
yyao                  1.13 TB        563.67 GB          4.00 TB          2.00 TB        41156       500000    ok/ok
cgrud85               1.12 TB        561.56 GB          4.29 TB          2.15 TB        21158       500000    ok/ok
rtaus                 1.12 TB        559.17 GB          4.29 TB          2.15 TB        35334       500000    ok/ok
sroychow              1.11 TB        556.81 GB          4.29 TB          2.15 TB          638       500000    ok/ok
dbhowmik              1.11 TB        556.58 GB          4.00 TB          2.00 TB       112655       500000    ok/ok
c0wd3n                1.09 TB        547.42 GB          4.40 TB          2.20 TB          811       500000    ok/ok
aysen                 1.09 TB        546.84 GB          4.29 TB          2.15 TB         1900       500000    ok/ok
snsanti               1.08 TB        541.85 GB          4.29 TB          2.15 TB        11957       500000    ok/ok
cdietz                1.07 TB        536.87 GB          4.29 TB          2.15 TB        10418       500000    ok/ok
osherson              1.07 TB        535.95 GB          4.29 TB          2.15 TB         8249       500000    ok/ok
malik                 1.07 TB        535.66 GB          4.00 TB          2.00 TB         9221       500000    ok/ok
freddy06              1.07 TB        533.94 GB          4.29 TB          2.15 TB        35482       500000    ok/ok
jlee2                 1.06 TB        530.96 GB          4.29 TB          2.15 TB         6358       500000    ok/ok
mwalker               1.05 TB        524.00 GB          4.29 TB          2.15 TB        17298       500000    ok/ok
jfaulkn3              1.04 TB        519.97 GB          4.29 TB          2.15 TB        61497       500000    ok/ok
kunori                1.03 TB        515.28 GB          4.29 TB          2.15 TB          217       500000    ok/ok
linacre               1.03 TB        513.70 GB          4.29 TB          2.15 TB          688       500000    ok/ok
barria                1.01 TB        505.98 GB          4.00 TB          2.00 TB          227       500000    ok/ok
alicelik              1.01 TB        504.72 GB          4.29 TB          2.15 TB      1545117            0    ok/ignored
rocky86               1.01 TB        504.34 GB          4.40 TB          2.20 TB        11402       500000    ok/ok
3wolf3                1.00 TB        500.70 GB          4.29 TB          2.15 TB         5520       500000    ok/ok
ratnikov            997.70 GB        498.85 GB          4.29 TB          2.15 TB         1797       500000    ok/ok
rrabadan            992.42 GB        496.21 GB          4.29 TB          2.15 TB        22403       500000    ok/ok
chultqui            992.05 GB        496.02 GB          4.29 TB          2.15 TB         2905       500000    ok/ok
